Town/City,Clerk,Address,Phone,Fax,E-Mail,Town Website Address,State Election Start Time - End Time,Local Election Start Time - End Time,Polling Place,Election Date-Name
LITCHFIELD,THERESA L BRIAND,2 LIBERTY WAY LITCHFIELD 03052,603-424-4045,603-424-3014,TBRIAND@LITCHFIELDNH.GOV,WWW.LITCHFIELDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CAMPBELL HIGH SCHOOL 1 HIGHLANDER CT LITCHFIELD 03052,11/03/2026-STATE GENERAL ELECTION
LITTLETON,ANGELA BROUSSEAU,"125 MAIN ST, SUITE 202 LITTLETON 03561",603-575-9163,603-444-0735,ABROUSSEAU@LITTLETONNH.GOV,WWW.TOWNOFLITTLETON.ORG,,,,
LIVERMORE,KRISTYN DAIGLE-BROPHY,148 MAIN ST LIVERMORE 03251,603-745-8971,603-745-6743,TOWNCLERK@LINCOLNNH.GOV,Not Applicable,,,,
LONDONDERRY,SHARON ANN FARRELL,268B MAMMOTH RD LONDONDERRY 03053,603-432-1100,603-421-9617,SFARRELL@LONDONDERRYNH.ORG,WWW.LONDONDERRYNH.ORG,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,LONDONDERRY HIGH SCHOOL GYM 295 MAMMOTH RD LONDONDERRY 03053,11/03/2026-STATE GENERAL ELECTION
LOUDON,ASHLEY ELIZABETH SIMONDS,55 SOUTH VILLAGE RD LOUDON 03307,603-798-4542,603-798-3539,TOWNCLERK@LOUDONNH.ORG,WWW.LOUDONNH.ORG,,,,
LOW & BURBANKS GRANT,CHRISTINA ZORNIO,20 PARK ST LOW & BURBANKS GRANT 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
LYMAN,BETHANY L CARIGNAN,65 PARKER HILL ROAD LYMAN 03585,603-838-6113,603-838-6818,TCTX@LYMANNH.GOV,WWW.LYMANNH.ORG,8:00 AM - 7:00 PM,11:00 AM - 6:00 PM,LYMAN TOWN HALL 65 PARKER HILL RD LYMAN 03585,11/03/2026-STATE GENERAL ELECTION
LYME,EMILY SHEPARD,PO BOX 342 LYME 03768,603-795-2535,603-795-2117,TOWNCLERK@LYMENH.GOV,WWW.LYMENH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,LYME COMMUNITY GYMNASIUM 35 UNION ST LYME 03768,11/03/2026-STATE GENERAL ELECTION
LYNDEBOROUGH,PATRICIA H SCHULTZ,9 CITIZENS HALL ROAD LYNDEBOROUGH 03082,603-654-5955,603-654-5777,TSCHULTZ@LYNDEBOROUGHNH.US,WWW.LYNDEBOROUGHNH.US,,,,
MADBURY,MORGAN R DAIGLE,13 TOWN HALL RD MADBURY 03823,603-742-5131,603-742-2505,TCMADBURY@COMCAST.NET,HTTP://WWW.MADBURY.GOV,7:00 AM - 7:00 PM,11:00 AM - 7:00 PM,MADBURY TOWN HALL 13 TOWN HALL RD MADBURY 03823,11/03/2026-STATE GENERAL ELECTION
MADISON,MICHAEL R BROOKS,PO BOX 248 MADISON 03849,603-367-9931,603-367-4765,CLERK@MADISON-NH.ORG,WWW.MADISON-NH.ORG,,,,
MANCHESTER WARD 01,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,WEBSTER SCHOOL 2519 ELM ST MANCHESTER 03104,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 02,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,SMYTH ROAD SCHOOL 245 BRUCE RD MANCHESTER 03104,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 03,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,CAROL M. RINES CENTER 1528 ELM ST MANCHESTER 03101,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 04,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,MCDONOUGH SCHOOL 550 LOWELL ST MANCHESTER 03104,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 05,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,BEECH STREET SCHOOL 333 BEECH ST MANCHESTER 03103,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 06,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,MCLAUGHLIN MIDDLE SCHOOL 201 JACK LOVERING DR MANCHESTER 03109,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 07,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,CARDINAL LACROIX ACADEMY COMMUNITY CENTER 148 BELMONT ST MANCHESTER 03103,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 08,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,MEMORIAL HIGH SCHOOL 1 CRUSADER WAY MANCHESTER 03103,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 09,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,BISHOP LEO E. O'NEIL YOUTH CENTER 30 S ELM ST MANCHESTER 03103,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 10,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,PARKER VARNEY SCHOOL 223 JAMES A POLLOCK DR MANCHESTER 03102,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 11,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,GOSSLER SCHOOL 145 PARKSIDE AVE MANCHESTER 03102,11/03/2026-STATE GENERAL ELECTION
MANCHESTER WARD 12,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,603-624-6455,603-624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,NORTHWEST ELEMENTARY SCHOOL 300 YOUVILLE ST MANCHESTER 03102,11/03/2026-STATE GENERAL ELECTION
MARLBOROUGH,KATHLEEN M CHAMBERLAIN,236 MAIN ST MARLBOROUGH 03455,603-876-4529,603-876-4703,TOWNCLERK@MARLBOROUGHNH.ORG,WWW.MARLBOROUGHNH.ORG,8:00 AM - 7:00 PM,1:00PM - 9:00 PM,MARLBOROUGH SCHOOL 41 FITCH CT MARLBOROUGH 03455,11/03/2026-STATE GENERAL ELECTION
MARLOW,NICHOLE WILSON,167 NH RT 123 MARLOW 03456,603-446-2245,603-446-3806,MARLOWCLERK@MARLOWNH.GOV,WWW.MARLOWNH.GOV,,,,
MARTIN'S LOCATION,SUSAN VALLIERE,20 PARK ST MARTIN'S LOCATION 03581,603-466-9434,603-466-2744,SVALLIERE@GORHAMNH.GOV,Not Applicable,8:00 AM - 7:00 PM,-,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLILNG LOCATION ONLY MARTIN'S LOCATION 03581,11/03/2026-STATE GENERAL ELECTION
MASON,DEBRA A MORRISON,16 DARLING HILL RD MASON 03048,603-878-3768,603-878-4892,MASONTOWNCLERK@GMAIL.COM,WWW.MASONNH.US,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,MASON ELEMENTARY SCHOOL 13 DARLING HILL RD MASON 03048,11/03/2026-STATE GENERAL ELECTION
MEREDITH,KERRI ANN PARKER,41 MAIN STREET MEREDITH 03253,603-677-4203,603-279-1042,KPARKER@MEREDITHNH.GOV,WWW.MEREDITHNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MEREDITH COMMUNITY CENTER 1 CIRCLE DR MEREDITH 03253,11/03/2026-STATE GENERAL ELECTION
MERRIMACK WARD 01,BRENDA S DULONG,6 BABOOSIC LAKE ROAD MERRIMACK 03054,603-424-3651,603-423-8539,BSDULONG@MERRIMACKNH.GOV,WWW.MERRIMACKNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MERRIMACK HIGH SCHOOL 38 MCELWAIN ST MERRIMACK 03054,11/03/2026-STATE GENERAL ELECTION
MERRIMACK WARD 02,BRENDA S DULONG,6 BABOOSIC LAKE ROAD MERRIMACK 03054,603-424-3651,603-423-8539,BSDULONG@MERRIMACKNH.GOV,WWW.MERRIMACKNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MERRIMACK MIDDLE SCHOOL 31 MADELINE BENNETT - POLLING LOCATION ONLY LN MERRIMACK,11/03/2026-STATE GENERAL ELECTION
MIDDLETON,ROY WILLIAM PARECE,182 KINGS HIGHWAY MIDDLETON 03887,603-473-5210,603-473-2450,TCTX@MIDDLETONNH.GOV,WWW.MIDDLETONNH.GOV,,,,
MILAN,DAWN G DUBE,PO BOX 158 MILAN 03588,603-449-3461,603-449-2624,MILANTOWNCLERK@GMAIL.COM,WWW.TOWNOFMILAN.COM,,,,
MILFORD,JOAN MARIE DARGIE,1 UNION SQUARE MILFORD 03055,603-249-0650,603-673-2273,JOAN.DARGIE@MILFORD.NH.GOV,WWW.MILFORD.NH.GOV/,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,MILFORD HIGH SCHOOL 100 WEST ST MILFORD 03055,11/03/2026-STATE GENERAL ELECTION
MILLSFIELD,CHRISTINE ROSE VIGNEAULT,495 W ROUTE 26 MILLSFIELD 03579,603-344-0117,Not Applicable,CVIGGY613@GMAIL.COM,Not Applicable,,,,
MILTON,BRIAN LECLERC,PO BOX 180 MILTON 03851,603-652-4501,603-652-4120,TOWNCLERKTAXCOLLECTOR@MILTONNH-US.COM,WWW.MILTONNH-US.COM,,,,
MONROE,AUDREY E DIMATTIES,PO BOX 63 MONROE 03771,603-638-2644,603-638-2021,MONROETC@MONROENH.ORG,MONROENH.ORG,8:00 AM - 7:00 PM,12:00 PM - 6:00 PM,MONROE TOWN HALL 50 MAIN ST MONROE 03771,11/03/2026-STATE GENERAL ELECTION
MONT VERNON,BELINDA YEATON,PO BOX 417 MONT VERNON 03057,603-673-9126,Not Applicable,BYEATON@MONTVERNONNH.US,WWW.MONTVERNONNH.US,,,,
MOULTONBOROUGH,JULIA MARCHAND,PO BOX 15 MOULTONBOROUGH 03254,603-476-2347,603-476-2778,TOWNCLERK@MOULTONBOROUGHNH.GOV,WWW.MOULTONBOROUGHNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MOULTONBOROUGH ACADEMY 25 BLAKE RD MOULTONBOROUGH 03254,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 01,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,06:00 AM - 08:00 PM,06:00 AM - 08:00 PM,NASHUA HIGH SCHOOL NORTH 8 TITAN WAY NASHUA 03063,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 02,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,CHARLOTTE AVENUE ELEMENTARY SCHOOL 48 CHARLOTTE AVE NASHUA 03064,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 03,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 A.M. - 8:00 PM,6:00 A.M. - 8:00 PM,AMHERST STREET ELEMENTARY SCHOOL 71 AMHERST ST NASHUA 03064,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 04,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,LEDGE STREET ELEMENTARY SCHOOL 139 LEDGE ST NASHUA 03060,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 05,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,NASHUA HIGH SCHOOL SOUTH GYMNASIUM 36 RIVERSIDE ST NASHUA 03062,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 06,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,FAIRGROUNDS MIDDLE SCHOOL 27 CLEVELAND ST NASHUA 03060,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 07,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,DR. NORMAN W. CRISP ELEMENTARY SCHOOL 50 ARLINGTON ST NASHUA 03060,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 08,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,BICENTENNIAL ELEMENTARY SCHOOL 296 EAST DUNSTABLE RD NASHUA 03062,11/03/2026-STATE GENERAL ELECTION
NASHUA WARD 09,DANIEL HEALEY,229 MAIN STREET NASHUA 03060,603-589-3010,603-589-3029,CITYCLERK@NASHUANH.GOV,WWW.NASHUANH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,NEW SEARLES ELEMENTARY SCHOOL 39 SHADY LN NASHUA 03062,11/03/2026-STATE GENERAL ELECTION
NELSON,KAREN CASTELLI,7 NELSON COMMON RD NELSON 03457,603-847-9043,603-847-3197,TOWNCLERK@NELSONNH.US,WWW.TOWNOFNELSON.ORG,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,NELSON TOWN HALL 3 NELSON COMMON RD NELSON 03457,11/03/2026-STATE GENERAL ELECTION
NEW BOSTON,KIMBERLY A COLBERT,P O BOX 250 NEW BOSTON 03070,603-487-2500,603-487-2975,K.COLBERT@NEWBOSTONNH.GOV,WWW.NEWBOSTONNH.GOV,,,,
NEW CASTLE,ALLISON WHITE,PO BOX 367 NEW CASTLE 03854,603-431-6710,603-433-6198,TOWNCLERK@NEWCASTLE.NH.GOV,WWW.NEWCASTLENH.ORG,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,NEW CASTLE RECREATION CENTER 301 WENTWORTH RD NEW CASTLE 03854,11/03/2026-STATE GENERAL ELECTION
NEW DURHAM,ALICIA HOUSEL,P.O. BOX 207 NEW DURHAM 03855,603-859-2091,603-859-6644,NDCLERK@NEWDURHAMNH.US,WWW.NEWDURHAMNH.US,,,,
NEW HAMPTON,REGINA M SCHOFIELD,PO BOX 538 NEW HAMPTON 03256,603-744-8454,Not Applicable,TCTX@NEWHAMPTONNH.GOV,WWW.NEWHAMPTONNH.GOV,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,NEW HAMPTON TOWN HOUSE 86 TOWN HOUSE RD NEW HAMPTON 03256,11/03/2026-STATE GENERAL ELECTION
NEW IPSWICH,LISA MARIE CARBONE,661 TURNPIKE ROAD NEW IPSWICH 03071,603-878-2772,603-878-3855,TOWNCLERKTAX@NEWIPSWICHNH.GOV,WWW.TOWNOFNEWIPSWICH.ORG,,,,
NEW LONDON,WILL KIDDER,375 MAIN STREET NEW LONDON 03257,603-526-1244,603-526-9494,W.KIDDER@NEWLONDON.NH.GOV,NEWLONDON.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,WHIPPLE MEMORIAL TOWN HALL 25 SEAMANS RD NEW LONDON 03257,11/03/2026-STATE GENERAL ELECTION
NEWBURY,LINDA JEAN PLUNKETT,PO BOX 253 NEWBURY 03255,603-763-5326,603-763-5298,LINDA@NEWBURYNH.ORG,WWW.NEWBURYNH.ORG,,,,
NEWFIELDS,SUE E MCKINNON,65 MAIN STREET NEWFIELDS 03856,603-772-5070,603-772-9004,SUEMCKINNON@NEWFIELDSNH.GOV,WWW.NEWFIELDSNH.GOV,7:00 AM - 7:00 PM,8:00 AM - 7:00 PM,NEWFIELDS TOWN HALL 65 MAIN ST NEWFIELDS 03856,11/03/2026-STATE GENERAL ELECTION
NEWINGTON,TINA TEHYIN HO WENDELL,205 NIMBLE HILL RD NEWINGTON 03801,603-436-7640,Not Applicable,TINAHW@NEWINGTONNH.GOV,WWW.NEWINGTON.NH.US,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,NEWINGTON TOWN HALL 205 NIMBLE HILL RD NEWINGTON 03801,11/03/2026-STATE GENERAL ELECTION
NEWMARKET,TERRI J LITTLEFIELD,186 MAIN ST NEWMARKET 03857,603-659-3617,603-659-3441,TLITTLEFIELD@NEWMARKETNH.GOV,WWW.NEWMARKETNH.GOV,,,,
NEWPORT,LISELLE G DUFORT,15 SUNAPEE STREET NEWPORT 03773,603-863-2224,603-863-8008,LDUFORT@NEWPORTNH.GOV,WWW.NEWPORTNH.GOV,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,NEWPORT COMMUNITY CENTER 17 MEADOW RD NEWPORT 03773,11/03/2026-STATE GENERAL ELECTION
NEWTON,MARY JO MCCULLOUGH,2 TOWN HALL ROAD NEWTON 03858,603-382-4405,603-382-9140,TOWNCLERKTAXCOLLECTOR@NEWTONNH.NET,WWW.NEWTON-NH.GOV,,,,
NORTH HAMPTON,SUSAN M BUCHANAN,237 ATLANTIC AVENUE NORTH HAMPTON 03862,603-964-6029,Not Applicable,SBUCHANAN@NORTHHAMPTON-NH.GOV,WWW.NORTHHAMPTON-NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,NORTH HAMPTON SCHOOL 201 ATLANTIC AVE NORTH HAMPTON 03862,11/03/2026-STATE GENERAL ELECTION
NORTHFIELD,HEATHER FAILLA,21 SUMMER STREET NORTHFIELD 03276,603-286-4482,603-286-3328,TCTC@NORTHFIELDNH.GOV,WWW.NORTHFIELDNH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,PINES COMMUNITY CENTER 61 SUMMER ST NORTHFIELD 03276,11/03/2026-STATE GENERAL ELECTION
NORTHUMBERLAND,KATHY WILES,19 MAIN STREET NORTHUMBERLAND 03582,603-636-1450,603-636-6098,TCTX@NORTHUMBERLANDNH.GOV,WWW.NORTHUMBERLANDNH.GOV,,,,
NORTHWOOD,MARISA RUSSO,818 FIRST NH TPKE NORTHWOOD 03261,603-942-5586,Not Applicable,MRUSSO@NORTHWOODNH.ORG,WWW.NORTHWOODNH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,NORTHWOOD SCHOOL 511 1ST NH TPKE NORTHWOOD 03261,11/03/2026-STATE GENERAL ELECTION
NOTTINGHAM,ALANA JEANE KENNEY,PO BOX 114 NOTTINGHAM 03290,603-679-9598,Not Applicable,TOWNCLERK@NOTTINGHAM-NH.GOV,WWW.NOTTINGHAM-NH.GOV,,,,
ODELL,DONNA M DEMERS,100 PO Box 100 ODELL 03579,603-482-3351,603-482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 US ROUTE 3 ODELL 03576,11/03/2026-STATE GENERAL ELECTION
ORANGE,TAMARA LYN FAIRBANK,PO BOX 37 ORANGE 03741,603-523-7054,Not Applicable,ORANGENHTOWNCLERK@GMAIL.COM,WWW.ORANGENH.US (UNOFFICIAL COMMUNITY RUN WEBSITE),,,,
ORFORD,DEBORAH M HADLOCK,2529 ROUTE 25A ORFORD 03777,603-353-4404,603-353-4489,TOWNCLERK@ORFORDNH.US,WWW.ORFORDNH.US,,,,
OSSIPEE,KELLIE J SKEHAN,PO BOX 67 OSSIPEE 03814,603-539-2008,Not Applicable,KSKEHAN@OSSIPEE.ORG,WWW.OSSIPEE.ORG,,,,
PELHAM,LINDA YVONNE NEWCOMB,6 VILLAGE GREEN PELHAM 03076,603-508-3076,603-508-3096,TOWNCLERK@PELHAMWEB.COM,WWW.PELHAMWEB.COM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,PELHAM HIGH SCHOOL 85 MARSH RD PELHAM 03076,11/03/2026-STATE GENERAL ELECTION
PEMBROKE,JAMES F GOFF,311 PEMBROKE STREET PEMBROKE 03275,603-485-4747,603-485-3967,JGOFF@PEMBROKE-NH.COM,WWW.PEMBROKE-NH.COM,7:00 AM - 7:00 PM,11:00 AM - 7:00 PM,PEMBROKE ACADEMY HIGH SCHOOL 209 ACADEMY RD PEMBROKE 03275,11/03/2026-STATE GENERAL ELECTION
PETERBOROUGH,LINDA M GUYETTE,1 GROVE ST PETERBOROUGH 03458,603-784-5605,603-924-8001,TOWNCLERK@PETERBOROUGHNH.GOV,WWW.PETERBOROUGHNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,PETERBOROUGH COMMUNITY CENTER 25 ELM ST PETERBOROUGH 03458,11/03/2026-STATE GENERAL ELECTION
PIERMONT,BERNADETTE RATEL,130 ROUTE 10 PIERMONT 03779,603-272-4840,603-272-9182,BERNADETTE.RATEL@TOWNOFPIERMONTNH.ORG,BERNADETTE.RATEL@TOWNOFPIERMONTNH.ORG,,,,
PINKHAM'S GRANT,SUSAN VALLIERE,20 PARK STREET PINKHAM'S GRANT 03581,603-466-9434,603-466-2744,SVALLIERE@GORHAMNH.GOV,Not Applicable,8:00 AM - 7:00 PM,-,GORHAM TOWN HALL-20 PARK STREET GORHAM NH 20 PARK ST PINKHAM'S GRANT 03581,11/03/2026-STATE GENERAL ELECTION
PITTSBURG,MARISE CLAIRE BURNS,1526 MAIN STREET PITTSBURG 03592,603-538-6699,603-538-6697,PITTSBURG1NH@GMAIL.COM,WWW.PITTSBURG-NH.COM,,,,
PITTSFIELD,ERICA ANNE ANTHONY,85 MAIN STREET PITTSFIELD 03263,603-435-6773,603-435-7922,EANTHONY@PITTSFIELDNH.GOV,WWW.PITTSFIELDNH.GOV,,,,
PLAINFIELD,SARAH ELIZABETH TROUT BERMAN,PO BOX 380 PLAINFIELD 03770,603-469-3201,603-469-3642,SBERMAN@PLAINFIELDNH.ORG,WWW.PLAINFIELDNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,PLAINFIELD ELEMENTARY SCHOOL 92 BONNER RD PLAINFIELD 03770,11/03/2026-STATE GENERAL ELECTION
PLAISTOW,MARTHA L. FOWLER,145 MAIN STREET STE 2 PLAISTOW 03865,603-382-8129,603-382-7183,TOWNCLERK@PLAISTOW.COM,WWW.PLAISTOW.COM,,,,
PLYMOUTH,AIMEE K LEE,6 POST OFFICE SQUARE PLYMOUTH 03264,603-536-1732,603-536-0036,TOWNCLERK@PLYMOUTHNH.GOV,WWW.PLYMOUTHNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,PLYMOUTH ELEMENTARY SCHOOL 43 OLD WARD BRIDGE RD PLYMOUTH 03264,11/03/2026-STATE GENERAL ELECTION
PORTSMOUTH WARD 01,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,603-610-7208,603-610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,NEW FRANKLIN SCHOOL 1 FRANKLIN DR PORTSMOUTH 03801,11/03/2026-STATE GENERAL ELECTION
PORTSMOUTH WARD 02,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,603-610-7208,603-610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,MIDDLE SCHOOL 155 PARROTT AVE PORTSMOUTH 03801,11/03/2026-STATE GENERAL ELECTION
PORTSMOUTH WARD 03,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,603-610-7208,603-610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,PORTSMOUTH SENIOR ACTIVITY CENTER 125 COTTAGE ST PORTSMOUTH 03801,11/03/2026-STATE GENERAL ELECTION
PORTSMOUTH WARD 04,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,603-610-7208,603-610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,DONDERO SCHOOL 32 VAN BUREN AVE PORTSMOUTH 03801,11/03/2026-STATE GENERAL ELECTION
PORTSMOUTH WARD 05,SALLY A KELLAR,1 JUNKINS AVENUE PORTSMOUTH 03801,603-610-7208,603-610-4158,SAKELLAR@PORTSMOUTHNH.GOV,WWW.CITYOFPORTSMOUTH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,LITTLE HARBOUR SCHOOL 50 CLOUGH DR PORTSMOUTH 03801,11/03/2026-STATE GENERAL ELECTION
RANDOLPH,ANNE KENISON,130 DURAND ROAD RANDOLPH 03593,603-466-5771,603-466-9856,TOWNCLERK@RANDOLPH.NH.GOV,WWW.RANDOLPH.NH.GOV,,,,
RAYMOND,ALYSSA C RICHARD-ENOS,4 EPPING STREET RAYMOND 03077,603-895-7024,603-895-7064,ARICHARD@RAYMONDNH.GOV,WWW.RAYMONDNH.GOV,,,,
RICHMOND,KAREN A OBRIEN,105 OLD HOMESTEAD HWY RICHMOND 03470,603-239-6202,Not Applicable,OBRIENRICHMONDCLERK@GMAIL.COM,WWW.RICHMOND.NH.GOV,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,VETERANS MEMORIAL HALL 150 OLD HOMESTEAD HWY RICHMOND 03470,11/03/2026-STATE GENERAL ELECTION
